"Figure NA.7 – Values of ce,(z)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Height (m),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fetch (km),2,2.094,2.193,2.296,2.405,2.518,2.637,2.761,2.891,3.027,3.17,3.319,3.476,3.639,3.811,3.991,4.179,4.376,4.582,4.798,5.024,5.261,5.508,5.768,6.04,6.325,6.623,6.935,7.262,7.604,7.962,8.337,8.73,9.142,9.573,10.024,10.496,10.991,11.509,12.051,12.619,13.214,13.837,14.489,15.172,15.887,16.635,17.419,18.24,19.1,20,20.943,21.93,22.963,24.045,25.179,26.365,27.608,28.909,30.271,31.698,33.192,34.756,36.394,38.109,39.905,41.786,43.755,45.817,47.977,50.238,52.605,55.085,57.681,60.399,63.246,66.226,69.347,72.616,76.038,79.621,83.374,87.303,91.418,95.726,100.237,104.961,109.908,115.088,120.512,126.191,132.139,138.366,144.887,151.716,158.866,166.353,174.193,182.402,190.999,200,209.426,219.296,229.631,240.453,251.785,263.651,276.077,289.088,302.712
0.1,1.9124,1.9441,1.976,2.0081,2.0405,2.0683,2.0919,2.1157,2.1395,2.1635,2.1875,2.2117,2.236,2.2604,2.2849,2.3095,2.3343,2.3591,2.384,2.409,2.4341,2.4593,2.4846,2.51,2.5354,2.5609,2.5865,2.6122,2.6379,2.6637,2.6896,2.7155,2.7415,2.7675,2.7935,2.8196,2.8457,2.8718,2.8979,2.924,2.9502,2.9763,3.0024,3.0285,3.0545,3.0806,3.1065,3.1324,3.1583,3.184,3.2097,3.2353,3.2608,3.2862,3.3114,3.3365,3.3614,3.3862,3.4109,3.4353,3.4595,3.4836,3.5074,3.531,3.5544,3.5776,3.6005,3.6231,3.6455,3.6676,3.6894,3.7109,3.7322,3.7532,3.7739,3.7943,3.8144,3.8343,3.8538,3.8732,3.8922,3.9111,3.9297,3.9481,3.9664,3.9844,4.0024,4.0202,4.038,4.0558,4.0735,4.0913,4.1092,4.1272,4.1453,4.1637,4.1824,4.2014,4.2207,4.2405,4.2607,4.2815,4.3029,4.3248,4.3475,4.3709,4.395,4.4199,4.4457,4.4723
0.107,1.9023,1.9337,1.9654,1.9974,2.0296,2.0621,2.0919,2.1157,2.1395,2.1635,2.1875,2.2117,2.236,2.2604,2.2849,2.3095,2.3343,2.3591,2.384,2.409,2.4341,2.4593,2.4846,2.51,2.5354,2.5609,2.5865,2.6122,2.6379,2.6637,2.6896,2.7155,2.7415,2.7675,2.7935,2.8196,2.8457,2.8718,2.8979,2.924,2.9502,2.9763,3.0024,3.0285,3.0545,3.0806,3.1065,3.1324,3.1583,3.184,3.2097,3.2353,3.2608,3.2862,3.3114,3.3365,3.3614,3.3862,3.4109,3.4353,3.4595,3.4836,3.5074,3.531,3.5544,3.5776,3.6005,3.6231,3.6455,3.6676,3.6894,3.7109,3.7322,3.7532,3.7739,3.7943,3.8144,3.8343,3.8538,3.8732,3.8922,3.9111,3.9297,3.9481,3.9664,3.9844,4.0024,4.0202,4.038,4.0558,4.0735,4.0913,4.1092,4.1272,4.1453,4.1637,4.1824,4.2014,4.2207,4.2405,4.2607,4.2815,4.3029,4.3248,4.3475,4.3709,4.395,4.4199,4.4457,4.4723
0.115,1.8923,1.9235,1.9551,1.9869,2.019,2.0513,2.0838,2.1157,2.1395,2.1635,2.1875,2.2117,2.236,2.2604,2.2849,2.3095,2.3343,2.3591,2.384,2.409,2.4341,2.4593,2.4846,2.51,2.5354,2.5609,2.5865,2.6122,2.6379,2.6637,2.6896,2.7155,2.7415,2.7675,2.7935,2.8196,2.8457,2.8718,2.8979,2.924,2.9502,2.9763,3.0024,3.0285,3.0545,3.0806,3.1065,3.1324,3.1583,3.184,3.2097,3.2353,3.2608,3.2862,3.3114,3.3365,3.3614,3.3862,3.4109,3.4353,3.4595,3.4836,3.5074,3.531,3.5544,3.5776,3.6005,3.6231,3.6455,3.6676,3.6894,3.7109,3.7322,3.7532,3.7739,3.7943,3.8144,3.8343,3.8538,3.8732,3.8922,3.9111,3.9297,3.9481,3.9664,3.9844,4.0024,4.0202,4.038,4.0558,4.0735,4.0913,4.1092,4.1272,4.1453,4.1637,4.1824,4.2014,4.2207,4.2405,4.2607,4.2815,4.3029,4.3248,4.3475,4.3709,4.395,4.4199,4.4457,4.4723
0.123,1.8824,1.9136,1.945,1.9766,2.0085,2.0406,2.073,2.1057,2.1386,2.1635,2.1875,2.2117,2.236,2.2604,2.2849,2.3095,2.3343,2.3591,2.384,2.409,2.4341,2.4593,2.4846,2.51,2.5354,2.5609,2.5865,2.6122,2.6379,2.6637,2.6896,2.7155,2.7415,2.7675,2.7935,2.8196,2.8457,2.8718,2.8979,2.924,2.9502,2.9763,3.0024,3.0285,3.0545,3.0806,3.1065,3.1324,3.1583,3.184,3.2097,3.2353,3.2608,3.2862,3.3114,3.3365,3.3614,3.3862,3.4109,3.4353,3.4595,3.4836,3.5074,3.531,3.5544,3.5776,3.6005,3.6231,3.6455,3.6676,3.6894,3.7109,3.7322,3.7532,3.7739,3.7943,3.8144,3.8343,3.8538,3.8732,3.8922,3.9111,3.9297,3.9481,3.9664,3.9844,4.0024,4.0202,4.038,4.0558,4.0735,4.0913,4.1092,4.1272,4.1453,4.1637,4.1824,4.2014,4.2207,4.2405,4.2607,4.2815,4.3029,4.3248,4.3475,4.3709,4.395,4.4199,4.4457,4.4723
0.132,1.8728,1.9038,1.935,1.9665,1.9982,2.0302,2.0624,2.0949,2.1276,2.1606,2.1875,2.2117,2.236,2.2604,2.2849,2.3095,2.3343,2.3591,2.384,2.409,2.4341,2.4593,2.4846,2.51,2.5354,2.5609,2.5865,2.6122,2.6379,2.6637,2.6896,2.7155,2.7415,2.7675,2.7935,2.8196,2.8457,2.8718,2.8979,2.924,2.9502,2.9763,3.0024,3.0285,3.0545,3.0806,3.1065,3.1324,3.1583,3.184,3.2097,3.2353,3.2608,3.2862,3.3114,3.3365,3.3614,3.3862,3.4109,3.4353,3.4595,3.4836,3.5074,3.531,3.5544,3.5776,3.6005,3.6231,3.6455,3.6676,3.6894,3.7109,3.7322,3.7532,3.7739,3.7943,3.8144,3.8343,3.8538,3.8732,3.8922,3.9111,3.9297,3.9481,3.9664,3.9844,4.0024,4.0202,4.038,4.0558,4.0735,4.0913,4.1092,4.1272,4.1453,4.1637,4.1824,4.2014,4.2207,4.2405,4.2607,4.2815,4.3029,4.3248,4.3475,4.3709,4.395,4.4199,4.4457,4.4723
0.141,1.8634,1.8942,1.9253,1.9566,1.9882,2.02,2.052,2.0843,2.1169,2.1497,2.1828,2.2117,2.236,2.2604,2.2849,2.3095,2.3343,2.3591,2.384,2.409,2.4341,2.4593,2.4846,2.51,2.5354,2.5609,2.5865,2.6122,2.6379,2.6637,2.6896,2.7155,2.7415,2.7675,2.7935,2.8196,2.8457,2.8718,2.8979,2.924,2.9502,2.9763,3.0024,3.0285,3.0545,3.0806,3.1065,3.1324,3.1583,3.184,3.2097,3.2353,3.2608,3.2862,3.3114,3.3365,3.3614,3.3862,3.4109,3.4353,3.4595,3.4836,3.5074,3.531,3.5544,3.5776,3.6005,3.6231,3.6455,3.6676,3.6894,3.7109,3.7322,3.7532,3.7739,3.7943,3.8144,3.8343,3.8538,3.8732,3.8922,3.9111,3.9297,3.9481,3.9664,3.9844,4.0024,4.0202,4.038,4.0558,4.0735,4.0913,4.1092,4.1272,4.1453,4.1637,4.1824,4.2014,4.2207,4.2405,4.2607,4.2815,4.3029,4.3248,4.3475,4.3709,4.395,4.4199,4.4457,4.4723
0.151,1.8541,1.8848,1.9157,1.9469,1.9783,2.0099,2.0418,2.074,2.1064,2.139,2.1719,2.205,2.236,2.2604,2.2849,2.3095,2.3343,2.3591,2.384,2.409,2.4341,2.4593,2.4846,2.51,2.5354,2.5609,2.5865,2.6122,2.6379,2.6637,2.6896,2.7155,2.7415,2.7675,2.7935,2.8196,2.8457,2.8718,2.8979,2.924,2.9502,2.9763,3.0024,3.0285,3.0545,3.0806,3.1065,3.1324,3.1583,3.184,3.2097,3.2353,3.2608,3.2862,3.3114,3.3365,3.3614,3.3862,3.4109,3.4353,3.4595,3.4836,3.5074,3.531,3.5544,3.5776,3.6005,3.6231,3.6455,3.6676,3.6894,3.7109,3.7322,3.7532,3.7739,3.7943,3.8144,3.8343,3.8538,3.8732,3.8922,3.9111,3.9297,3.9481,3.9664,3.9844,4.0024,4.0202,4.038,4.0558,4.0735,4.0913,4.1092,4.1272,4.1453,4.1637,4.1824,4.2014,4.2207,4.2405,4.2607,4.2815,4.3029,4.3248,4.3475,4.3709,4.395,4.4199,4.4457,4.4723
0.162,1.845,1.8756,1.9063,1.9373,1.9686,2.0001,2.0318,2.0638,2.0961,2.1285,2.1613,2.1942,2.2274,2.2604,2.2849,2.3095,2.3343,2.3591,2.384,2.409,2.4341,2.4593,2.4846,2.51,2.5354,2.5609,2.5865,2.6122,2.6379,2.6637,2.6896,2.7155,2.7415,2.7675,2.7935,2.8196,2.8457,2.8718,2.8979,2.924,2.9502,2.9763,3.0024,3.0285,3.0545,3.0806,3.1065,3.1324,3.1583,3.184,3.2097,3.2353,3.2608,3.2862,3.3114,3.3365,3.3614,3.3862,3.4109,3.4353,3.4595,3.4836,3.5074,3.531,3.5544,3.5776,3.6005,3.6231,3.6455,3.6676,3.6894,3.7109,3.7322,3.7532,3.7739,3.7943,3.8144,3.8343,3.8538,3.8732,3.8922,3.9111,3.9297,3.9481,3.9664,3.9844,4.0024,4.0202,4.038,4.0558,4.0735,4.0913,4.1092,4.1272,4.1453,4.1637,4.1824,4.2014,4.2207,4.2405,4.2607,4.2815,4.3029,4.3248,4.3475,4.3709,4.395,4.4199,4.4457,4.4723
0.174,1.8361,1.8665,1.8971,1.928,1.9591,1.9904,2.022,2.0538,2.0859,2.1182,2.1508,2.1836,2.2167,2.2499,2.2835,2.3095,2.3343,2.3591,2.384,2.409,2.4341,2.4593,2.4846,2.51,2.5354,2.5609,2.5865,2.6122,2.6379,2.6637,2.6896,2.7155,2.7415,2.7675,2.7935,2.8196,2.8457,2.8718,2.8979,2.924,2.9502,2.9763,3.0024,3.0285,3.0545,3.0806,3.1065,3.1324,3.1583,3.184,3.2097,3.2353,3.2608,3.2862,3.3114,3.3365,3.3614,3.3862,3.4109,3.4353,3.4595,3.4836,3.5074,3.531,3.5544,3.5776,3.6005,3.6231,3.6455,3.6676,3.6894,3.7109,3.7322,3.7532,3.7739,3.7943,3.8144,3.8343,3.8538,3.8732,3.8922,3.9111,3.9297,3.9481,3.9664,3.9844,4.0024,4.0202,4.038,4.0558,4.0735,4.0913,4.1092,4.1272,4.1453,4.1637,4.1824,4.2014,4.2207,4.2405,4.2607,4.2815,4.3029,4.3248,4.3475,4.3709,4.395,4.4199,4.4457,4.4723
0.186,1.8274,1.8576,1.8881,1.9188,1.9497,1.9809,2.0124,2.044,2.076,2.1081,2.1405,2.1732,2.2061,2.2392,2.2726,2.3062,2.3343,2.3591,2.384,2.409,2.4341,2.4593,2.4846,2.51,2.5354,2.5609,2.5865,2.6122,2.6379,2.6637,2.6896,2.7155,2.7415,2.7675,2.7935,2.8196,2.8457,2.8718,2.8979,2.924,2.9502,2.9763,3.0024,3.0285,3.0545,3.0806,3.1065,3.1324,3.1583,3.184,3.2097,3.2353,3.2608,3.2862,3.3114,3.3365,3.3614,3.3862,3.4109,3.4353,3.4595,3.4836,3.5074,3.531,3.5544,3.5776,3.6005,3.6231,3.6455,3.6676,3.6894,3.7109,3.7322,3.7532,3.7739,3.7943,3.8144,3.8343,3.8538,3.8732,3.8922,3.9111,3.9297,3.9481,3.9664,3.9844,4.0024,4.0202,4.038,4.0558,4.0735,4.0913,4.1092,4.1272,4.1453,4.1637,4.1824,4.2014,4.2207,4.2405,4.2607,4.2815,4.3029,4.3248,4.3475,4.3709,4.395,4.4199,4.4457,4.4723
0.2,1.8188,1.8488,1.8792,1.9097,1.9405,1.9716,2.0029,2.0344,2.0662,2.0982,2.1305,2.163,2.1957,2.2287,2.2619,2.2953,2.329,2.3591,2.384,2.409,2.4341,2.4593,2.4846,2.51,2.5354,2.5609,2.5865,2.6122,2.6379,2.6637,2.6896,2.7155,2.7415,2.7675,2.7935,2.8196,2.8457,2.8718,2.8979,2.924,2.9502,2.9763,3.0024,3.0285,3.0545,3.0806,3.1065,3.1324,3.1583,3.184,3.2097,3.2353,3.2608,3.2862,3.3114,3.3365,3.3614,3.3862,3.4109,3.4353,3.4595,3.4836,3.5074,3.531,3.5544,3.5776,3.6005,3.6231,3.6455,3.6676,3.6894,3.7109,3.7322,3.7532,3.7739,3.7943,3.8144,3.8343,3.8538,3.8732,3.8922,3.9111,3.9297,3.9481,3.9664,3.9844,4.0024,4.0202,4.038,4.0558,4.0735,4.0913,4.1092,4.1272,4.1453,4.1637,4.1824,4.2014,4.2207,4.2405,4.2607,4.2815,4.3029,4.3248,4.3475,4.3709,4.395,4.4199,4.4457,4.4723
0.214,1.8103,1.8403,1.8704,1.9009,1.9315,1.9624,1.9936,2.025,2.0566,2.0885,2.1206,2.1529,2.1855,2.2183,2.2514,2.2847,2.3182,2.3519,2.384,2.409,2.4341,2.4593,2.4846,2.51,2.5354,2.5609,2.5865,2.6122,2.6379,2.6637,2.6896,2.7155,2.7415,2.7675,2.7935,2.8196,2.8457,2.8718,2.8979,2.924,2.9502,2.9763,3.0024,3.0285,3.0545,3.0806,3.1065,3.1324,3.1583,3.184,3.2097,3.2353,3.2608,3.2862,3.3114,3.3365,3.3614,3.3862,3.4109,3.4353,3.4595,3.4836,3.5074,3.531,3.5544,3.5776,3.6005,3.6231,3.6455,3.6676,3.6894,3.7109,3.7322,3.7532,3.7739,3.7943,3.8144,3.8343,3.8538,3.8732,3.8922,3.9111,3.9297,3.9481,3.9664,3.9844,4.0024,4.0202,4.038,4.0558,4.0735,4.0913,4.1092,4.1272,4.1453,4.1637,4.1824,4.2014,4.2207,4.2405,4.2607,4.2815,4.3029,4.3248,4.3475,4.3709,4.395,4.4199,4.4457,4.4723
0.229,1.802,1.8318,1.8619,1.8922,1.9227,1.9535,1.9845,2.0157,2.0472,2.0789,2.1109,2.1431,2.1755,2.2082,2.2411,2.2742,2.3075,2.3411,2.375,2.409,2.4341,2.4593,2.4846,2.51,2.5354,2.5609,2.5865,2.6122,2.6379,2.6637,2.6896,2.7155,2.7415,2.7675,2.7935,2.8196,2.8457,2.8718,2.8979,2.924,2.9502,2.9763,3.0024,3.0285,3.0545,3.0806,3.1065,3.1324,3.1583,3.184,3.2097,3.2353,3.2608,3.2862,3.3114,3.3365,3.3614,3.3862,3.4109,3.4353,3.4595,3.4836,3.5074,3.531,3.5544,3.5776,3.6005,3.6231,3.6455,3.6676,3.6894,3.7109,3.7322,3.7532,3.7739,3.7943,3.8144,3.8343,3.8538,3.8732,3.8922,3.9111,3.9297,3.9481,3.9664,3.9844,4.0024,4.0202,4.038,4.0558,4.0735,4.0913,4.1092,4.1272,4.1453,4.1637,4.1824,4.2014,4.2207,4.2405,4.2607,4.2815,4.3029,4.3248,4.3475,4.3709,4.395,4.4199,4.4457,4.4723
0.245,1.7939,1.8236,1.8535,1.8836,1.914,1.9446,1.9755,2.0066,2.0379,2.0695,2.1013,2.1334,2.1657,2.1982,2.2309,2.2639,2.2971,2.3306,2.3642,2.3981,2.4322,2.4593,2.4846,2.51,2.5354,2.5609,2.5865,2.6122,2.6379,2.6637,2.6896,2.7155,2.7415,2.7675,2.7935,2.8196,2.8457,2.8718,2.8979,2.924,2.9502,2.9763,3.0024,3.0285,3.0545,3.0806,3.1065,3.1324,3.1583,3.184,3.2097,3.2353,3.2608,3.2862,3.3114,3.3365,3.3614,3.3862,3.4109,3.4353,3.4595,3.4836,3.5074,3.531,3.5544,3.5776,3.6005,3.6231,3.6455,3.6676,3.6894,3.7109,3.7322,3.7532,3.7739,3.7943,3.8144,3.8343,3.8538,3.8732,3.8922,3.9111,3.9297,3.9481,3.9664,3.9844,4.0024,4.0202,4.038,4.0558,4.0735,4.0913,4.1092,4.1272,4.1453,4.1637,4.1824,4.2014,4.2207,4.2405,4.2607,4.2815,4.3029,4.3248,4.3475,4.3709,4.395,4.4199,4.4457,4.4723
0.263,1.7859,1.8154,1.8452,1.8752,1.9055,1.936,1.9667,1.9977,2.0289,2.0603,2.092,2.1239,2.156,2.1884,2.221,2.2538,2.2869,2.3202,2.3537,2.3874,2.4214,2.4556,2.4846,2.51,2.5354,2.5609,2.5865,2.6122,2.6379,2.6637,2.6896,2.7155,2.7415,2.7675,2.7935,2.8196,2.8457,2.8718,2.8979,2.924,2.9502,2.9763,3.0024,3.0285,3.0545,3.0806,3.1065,3.1324,3.1583,3.184,3.2097,3.2353,3.2608,3.2862,3.3114,3.3365,3.3614,3.3862,3.4109,3.4353,3.4595,3.4836,3.5074,3.531,3.5544,3.5776,3.6005,3.6231,3.6455,3.6676,3.6894,3.7109,3.7322,3.7532,3.7739,3.7943,3.8144,3.8343,3.8538,3.8732,3.8922,3.9111,3.9297,3.9481,3.9664,3.9844,4.0024,4.0202,4.038,4.0558,4.0735,4.0913,4.1092,4.1272,4.1453,4.1637,4.1824,4.2014,4.2207,4.2405,4.2607,4.2815,4.3029,4.3248,4.3475,4.3709,4.395,4.4199,4.4457,4.4723
0.282,1.778,1.8074,1.8371,1.867,1.8971,1.9274,1.958,1.9889,2.0199,2.0512,2.0828,2.1145,2.1465,2.1788,2.2112,2.2439,2.2768,2.31,2.3433,2.3769,2.4107,2.4448,2.479,2.51,2.5354,2.5609,2.5865,2.6122,2.6379,2.6637,2.6896,2.7155,2.7415,2.7675,2.7935,2.8196,2.8457,2.8718,2.8979,2.924,2.9502,2.9763,3.0024,3.0285,3.0545,3.0806,3.1065,3.1324,3.1583,3.184,3.2097,3.2353,3.2608,3.2862,3.3114,3.3365,3.3614,3.3862,3.4109,3.4353,3.4595,3.4836,3.5074,3.531,3.5544,3.5776,3.6005,3.6231,3.6455,3.6676,3.6894,3.7109,3.7322,3.7532,3.7739,3.7943,3.8144,3.8343,3.8538,3.8732,3.8922,3.9111,3.9297,3.9481,3.9664,3.9844,4.0024,4.0202,4.038,4.0558,4.0735,4.0913,4.1092,4.1272,4.1453,4.1637,4.1824,4.2014,4.2207,4.2405,4.2607,4.2815,4.3029,4.3248,4.3475,4.3709,4.395,4.4199,4.4457,4.4723
0.302,1.7703,1.7996,1.8291,1.8589,1.8889,1.9191,1.9495,1.9802,2.0112,2.0423,2.0737,2.1054,2.1372,2.1693,2.2016,2.2342,2.2669,2.2999,2.3332,2.3666,2.4003,2.4341,2.4682,2.5026,2.5354,2.5609,2.5865,2.6122,2.6379,2.6637,2.6896,2.7155,2.7415,2.7675,2.7935,2.8196,2.8457,2.8718,2.8979,2.924,2.9502,2.9763,3.0024,3.0285,3.0545,3.0806,3.1065,3.1324,3.1583,3.184,3.2097,3.2353,3.2608,3.2862,3.3114,3.3365,3.3614,3.3862,3.4109,3.4353,3.4595,3.4836,3.5074,3.531,3.5544,3.5776,3.6005,3.6231,3.6455,3.6676,3.6894,3.7109,3.7322,3.7532,3.7739,3.7943,3.8144,3.8343,3.8538,3.8732,3.8922,3.9111,3.9297,3.9481,3.9664,3.9844,4.0024,4.0202,4.038,4.0558,4.0735,4.0913,4.1092,4.1272,4.1453,4.1637,4.1824,4.2014,4.2207,4.2405,4.2607,4.2815,4.3029,4.3248,4.3475,4.3709,4.395,4.4199,4.4457,4.4723
0.324,1.7627,1.7919,1.8213,1.8509,1.8808,1.9109,1.9412,1.9718,2.0026,2.0336,2.0648,2.0963,2.1281,2.16,2.1922,2.2246,2.2572,2.2901,2.3232,2.3565,2.39,2.4237,2.4577,2.4918,2.5262,2.5608,2.5865,2.6122,2.6379,2.6637,2.6896,2.7155,2.7415,2.7675,2.7935,2.8196,2.8457,2.8718,2.8979,2.924,2.9502,2.9763,3.0024,3.0285,3.0545,3.0806,3.1065,3.1324,3.1583,3.184,3.2097,3.2353,3.2608,3.2862,3.3114,3.3365,3.3614,3.3862,3.4109,3.4353,3.4595,3.4836,3.5074,3.531,3.5544,3.5776,3.6005,3.6231,3.6455,3.6676,3.6894,3.7109,3.7322,3.7532,3.7739,3.7943,3.8144,3.8343,3.8538,3.8732,3.8922,3.9111,3.9297,3.9481,3.9664,3.9844,4.0024,4.0202,4.038,4.0558,4.0735,4.0913,4.1092,4.1272,4.1453,4.1637,4.1824,4.2014,4.2207,4.2405,4.2607,4.2815,4.3029,4.3248,4.3475,4.3709,4.395,4.4199,4.4457,4.4723
0.347,1.7553,1.7843,1.8136,1.8431,1.8728,1.9028,1.933,1.9634,1.9941,2.025,2.0561,2.0875,2.1191,2.1509,2.1829,2.2152,2.2477,2.2804,2.3133,2.3465,2.3799,2.4135,2.4473,2.4813,2.5155,2.55,2.5846,2.6122,2.6379,2.6637,2.6896,2.7155,2.7415,2.7675,2.7935,2.8196,2.8457,2.8718,2.8979,2.924,2.9502,2.9763,3.0024,3.0285,3.0545,3.0806,3.1065,3.1324,3.1583,3.184,3.2097,3.2353,3.2608,3.2862,3.3114,3.3365,3.3614,3.3862,3.4109,3.4353,3.4595,3.4836,3.5074,3.531,3.5544,3.5776,3.6005,3.6231,3.6455,3.6676,3.6894,3.7109,3.7322,3.7532,3.7739,3.7943,3.8144,3.8343,3.8538,3.8732,3.8922,3.9111,3.9297,3.9481,3.9664,3.9844,4.0024,4.0202,4.038,4.0558,4.0735,4.0913,4.1092,4.1272,4.1453,4.1637,4.1824,4.2014,4.2207,4.2405,4.2607,4.2815,4.3029,4.3248,4.3475,4.3709,4.395,4.4199,4.4457,4.4723
